Senegal,Unemployment rate,
Serbia,"Gross domestic product per capita, current prices","18,971.85"
Serbia,Unemployment rate,10.909
Seychelles,"Gross domestic product per capita, current prices","30,429.91"
Seychelles,Unemployment rate,3
Sierra Leone,"Gross domestic product per capita, current prices","1,778.33"
Sierra Leone,Unemployment rate,
Singapore,"Gross domestic product per capita, current prices","101,458.10"
Singapore,Unemployment rate,2.25
Slovak Republic,"Gross domestic product per capita, current prices","34,202.35"
Slovak Republic,Unemployment rate,5.758
Slovenia,"Gross domestic product per capita, current prices","40,716.55"
Slovenia,Unemployment rate,4.6
Solomon Islands,"Gross domestic product per capita, current prices","2,590.40"
Solomon Islands,Unemployment rate,
Somalia,"Gross domestic product per capita, current prices",
Somalia,Unemployment rate,
South Africa,"Gross domestic product per capita, current prices","12,961.70"
South Africa,Unemployment rate,28.7
South Sudan,"Gross domestic product per capita, current prices",862.085
South Sudan,Unemployment rate,
Spain,"Gross domestic product per capita, current prices","43,153.55"
Spain,Unemployment rate,14.105
Sri Lanka,"Gross domestic product per capita, current prices","13,631.18"
Sri Lanka,Unemployment rate,4.8
St. Kitts and Nevis,"Gross domestic product per capita, current prices","25,749.43"
St. Kitts and Nevis,Unemployment rate,
St. Lucia,"Gross domestic product per capita, current prices","16,367.92"
St. Lucia,Unemployment rate,
St. Vincent and the Grenadines,"Gross domestic product per capita, current prices","13,018.79"
St. Vincent and the Grenadines,Unemployment rate,
Sudan,"Gross domestic product per capita, current prices","4,140.29"
Sudan,Unemployment rate,22.1
Suriname,"Gross domestic product per capita, current prices","16,767.77"
Suriname,Unemployment rate,8.953
Sweden,"Gross domestic product per capita, current prices","55,264.97"
Sweden,Unemployment rate,6.767
Switzerland,"Gross domestic product per capita, current prices","72,008.02"
Switzerland,Unemployment rate,2.306
Syria,"Gross domestic product per capita, current prices",n/a
Syria,Unemployment rate,n/a
Taiwan Province of China,"Gross domestic product per capita, current prices","53,274.55"
Taiwan Province of China,Unemployment rate,3.8
Tajikistan,"Gross domestic product per capita, current prices","3,543.75"
Tajikistan,Unemployment rate,n/a
Tanzania,"Gross domestic product per capita, current prices","2,840.65"
Tanzania,Unemployment rate,
Thailand,"Gross domestic product per capita, current prices","19,240.68"
Thailand,Unemployment rate,1
Timor-Leste,"Gross domestic product per capita, current prices","3,245.30"
Timor-Leste,Unemployment rate,
Togo,"Gross domestic product per capita, current prices","1,656.78"
Togo,Unemployment rate,
Tonga,"Gross domestic product per capita, current prices","6,137.82"
Tonga,Unemployment rate,
Trinidad and Tobago,"Gross domestic product per capita, current prices","27,283.07"
Trinidad and Tobago,Unemployment rate,n/a
Tunisia,"Gross domestic product per capita, current prices","11,124.98"
Tunisia,Unemployment rate,14.889
Turkey,"Gross domestic product per capita, current prices","29,723.53"
Turkey,Unemployment rate,13.709
Turkmenistan,"Gross domestic product per capita, current prices","16,432.28"
Turkmenistan,Unemployment rate,
Tuvalu,"Gross domestic product per capita, current prices","4,457.91"
Tuvalu,Unemployment rate,
Uganda,"Gross domestic product per capita, current prices","2,646.42"
Uganda,Unemployment rate,
Ukraine,"Gross domestic product per capita, current prices","13,442.09"
Ukraine,Unemployment rate,8.5
United Arab Emirates,"Gross domestic product per capita, current prices","63,589.80"
United Arab Emirates,Unemployment rate,
United Kingdom,"Gross domestic product per capita, current prices","48,727.41"
United Kingdom,Unemployment rate,3.825
United States,"Gross domestic product per capita, current prices","65,253.52"
United States,Unemployment rate,3.667
Uruguay,"Gross domestic product per capita, current prices","22,109.99"
Uruguay,Unemployment rate,8.925
Uzbekistan,"Gross domestic product per capita, current prices","7,366.01"
Uzbekistan,Unemployment rate,
Vanuatu,"Gross domestic product per capita, current prices","2,919.70"
Vanuatu,Unemployment rate,
Venezuela,"Gross domestic product per capita, current prices","7,344.08"
Venezuela,Unemployment rate,n/a
Vietnam,"Gross domestic product per capita, current prices","10,537.56"
Vietnam,Unemployment rate,2.21
West Bank and Gaza,"Gross domestic product per capita, current prices","6,099.35"
West Bank and Gaza,Unemployment rate,25.35
Yemen,"Gross domestic product per capita, current prices","2,056.59"
Yemen,Unemployment rate,
Zambia,"Gross domestic product per capita, current prices","3,526.41"
Zambia,Unemployment rate,
Zimbabwe,"Gross domestic product per capita, current prices","2,896.13"
Zimbabwe,Unemployment rate,
